TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
72381,ADANA,SEYHAN,Adana Kıvanç Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,HAFIZLIK PROJESİ (Fen ve Sosyal Bilimler Programı),İngilizce,195.3957,94.36,380.0249,13.68,287.7103
49709,ADANA,KOZAN,Kozan Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,183.4033,97.92,381.8382,13.31,282.62075
50211,ADANA,SEYHAN,Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,SAĞLIK HİZMETLERİ ALANI,İngilizce,345.0796,21.75,397.5116,10.37,371.29560000000004
49933,ADANA,ÇUKUROVA,Çukurova Elektrik Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,265.4949,51.72,376.2313,14.45,320.8631
39994,ADANA,CEYHAN,Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,KİMYA TEKNOLOJİSİ ALANI,İngilizce,260.9594,54.09,346.9112,21.27,303.9353
49694,ADANA,YÜREĞİR,Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,257.1386,56.19,351.6184,20.06,304.37850000000003
40192,ADANA,ÇUKUROVA,Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,İngilizce,254.8808,57.44,358.8171,18.32,306.84895
49363,ADANA,KOZAN,Kozan Şehit Arda Can Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,251.7251,59.25,382.8582,13.11,317.29165
50077,ADANA,ÇUKUROVA,Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI,İngilizce,250.4713,59.98,362.7017,17.4,306.5865
50014,ADANA,SEYHAN,Adana Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,243.2062,64.39,323.9141,27.88,283.56015
49547,ADANA,SEYHAN,Adana Seyhan Şehit Bora Süelkan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,241.2871,65.59,311.1965,32.13,276.2418
49384,ADANA,SEYHAN,Sabancı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MODA TASARIM TEKNOLOJİLERİ,İngilizce,237.8471,67.8,334.9425,24.52,286.39480000000003
