iter	Passed	Remaining
401	20766	495802
402	20817	495740
403	20876	495872
404	20918	495590
405	20958	495264
406	21005	495094
407	21048	494840
408	21084	494422
409	21134	494345
410	21185	494284
411	21239	494287
412	21284	494076
413	21325	493783
414	21373	493647
415	21422	493537
416	21474	493496
417	21522	493372
418	21560	493001
419	21603	492757
420	21660	492842
421	21702	492574
422	21741	492243
423	21790	492145
424	21844	492136
425	21891	491989
426	21934	491746
427	21996	491934
428	22055	492053
429	22111	492114
430	22165	492105
431	22209	491901
432	22249	491586
433	22297	491470
434	22343	491304
435	22394	491236
436	22454	491377
437	22503	491272
438	22557	491286
439	22606	491173
440	22656	491089
441	22697	490820
442	22750	490802
443	22793	490584
444	22836	490353
445	22890	490346
446	22946	490400
447	23009	490599
448	23070	490748
449	23134	490966
450	23177	490737
451	23219	490496
452	23269	490404
453	23311	490161
454	23354	489934
455	23397	489697
456	23469	490084
457	23527	490165
458	23584	490246
459	23652	490529
460	23721	490849
461	23774	490833
462	23829	490850
463	23877	490727
464	23925	490603
465	23994	490907
466	24052	490989
467	24106	490981
468	24187	491532
469	24254	491791
470	24315	491938
471	24369	491939
472	24412	491704
473	24456	491496
474	24513	491554
475	24566	491531
476	24636	491858
477	24706	492167
478	24766	492273
479	24828	492433
480	24892	492621
481	24948	492651
482	25024	493083
483	25091	493336
484	25135	493122
485	25175	492831
486	25217	492598
487	25268	492526
488	25324	492566
489	25381	492612
490	25435	492597
491	25490	492617
492	25556	492833
493	25613	492884
494	25668	492889
495	25714	492727
496	25765	492661
497	25809	492445
498	25850	492192
499	25897	492043
500	25949	491998
501	25990	491745
502	26043	491711
503	26097	491710
504	26145	491594
505	26191	491418
506	26240	491332
507	26283	491109
508	26338	491112
509	26389	491048
510	26438	490951
511	26496	491018
512	26555	491090
513	26631	491482
514	26695	491666
515	26748	491640
516	26810	491772
517	26856	491611
518	26897	491352
519	26947	491275
520	27008	491394
521	27070	491530
522	27129	491591
523	27171	491367
524	27230	491452
525	27278	491326
526	27337	491398
527	27404	491620
528	27453	491512
529	27517	491680
530	27567	491586
531	27614	491458
532	27659	491276
533	27713	491259
534	27751	490975
535	27792	490719
536	27848	490746
537	27903	490745
538	27950	490615
539	27991	490372
540	28040	490264
541	28096	490290
542	28149	490254
543	28193	490073
544	28237	489881
545	28278	489644
546	28328	489567
547	28384	489578
548	28434	489494
549	28480	489349
550	28525	489186
551	28571	489034
552	28628	489064
553	28680	489011
554	28720	488764
555	28764	488575
556	28812	488459
557	28871	488540
558	28916	488368
559	28962	488231
560	29006	488036
561	29047	487816
562	29096	487708
563	29138	487509
564	29182	487319
565	29225	487121
566	29271	486978
567	29319	486867
568	29383	487029
569	29427	486846
570	29471	486671
571	29512	486437
572	29555	486246
573	29599	486063
574	29639	485822
575	29688	485732
576	29736	485626
577	29774	485362
578	29819	485203
579	29875	485217
580	29934	485289
581	29977	485100
582	30027	485017
583	30074	484896
584	30125	484842
585	30166	484625
586	30216	484550
587	30269	484517
588	30309	484288
589	30362	484253
590	30414	484207
591	30465	484159
592	30507	483947
593	30548	483740
594	30592	483570
595	30641	483471
596	30686	483318
597	30726	483093
598	30769	482910
599	30826	482946
600	30871	482797
601	30927	482820
602	31031	483582
603	31090	483652
604	31144	483635
605	31194	483558
606	31239	483407
607	31288	483323
608	31337	483233
609	31385	483128
610	31427	482932
611	31484	482973
612	31543	483032
613	31589	482891
614	31647	482941
615	31707	483019
616	31776	483246
617	31840	483372
618	31885	483231
619	31926	483019
620	31962	482737
621	32012	482656
622	32051	482415
623	32094	482243
624	32138	482071
625	32181	481901
626	32245	482030
627	32306	482126
628	32373	482307
629	32431	482347
630	32472	482150
631	32521	482055
632	32571	481979
633	32625	481977
634	32669	481813
635	32720	481753
636	32758	481499
637	32799	481304
638	32838	481065
639	32893	481063
640	32936	480896
641	32982	480767
642	33028	480630
643	33073	480488
644	33126	480464
645	33171	480315
646	33211	480108
647	33264	480073
648	33326	480183
649	33389	480293
650	33443	480279
651	33496	480257
652	33551	480257
653	33606	480253
654	33661	480254
655	33728	480425
656	33781	480395
657	33842	480480
658	33898	480497
659	33956	480536
660	34018	480632
661	34080	480732
662	34135	480723
663	34196	480804
664	34254	480849
665	34315	480929
666	34355	480715
667	34415	480783
668	34464	480696
669	34515	480642
670	34561	480513
671	34607	480390
